BRAND,MODEL,VARIAN,BODY TYPE,HARGAOTR,HORSE POWER (HP),TORQUE (Nm),GROUND CLEARENCE,CHASSIS,EV_RANGE_KM,BATTERY (KWH),CC,TRANSMISSION,FUEL,WEIGHT (GVW),WHEEL (Inch),TYRE,WHEELBASE,LONG,WIDTH,HEIGHT,SEAT,DRIVE_SYS,DOOR,AIRBAGS,ABS,EBD,ESC,TCS,AEB,ACC,LKA,RCTA,ACC_STOP_GO,LANE_CENTERING,DRIVER_MONITOR_CAMERA,PARK_SENSOR_FRONT,PARK_SENSOR_REAR,REAR_CAMERA,CAMERA_360,TRUNK_CAPACITY_LITER,TIPE_SUSPENSI_BELAKANG,COMPRESSION_RATIO,TIPE_BATERAI,TILT_TELESCOPIC_STEERING,APPLE_CARPLAY,ANDROID_AUTO,LEATHER_SEAT,PARKING_BRAKE,AUTO_HOLD,WIRELESS_CHARGER,SOFT_TOUCH_INTERIOR,SUNROOF,POWER_TAILGATE,ELECTRIC_SEAT,AMBIENT_LIGHT,HEADLAMP,AIR_SUSPENSION,VENTILATED_SEAT,MASSAGE_SEAT,REAR_SEAT_ENTERTAINMENT,SOFT_CLOSE_DOOR,HEAD_UP_DISPLAY,REAR_LAMP,SPEEDOMETER,TOTAL_2025,raw_feature_points,SCORE_FEATURE,SCORE_SAFETY,SCORE_PERFORMANCE,SCORE_POPULARITY,SCORE_VALUE
MERCEDES-BENZ,E-CLASS,E 200 EXCLUSIVE (W214),Sedan,1585000000,204,320,110,Monocoque,0,0.0,2000T,AT,Petrol,2375,19,245/45,2961,4949,1880,1468,5,RWD,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,540,Multi-link,10.5,-,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Memory),Yes,LED,No,Yes (Front),No,No,No,No,LED,Digital,131,13,7.6,7.9,3.0,0.1,2.0
MERCEDES-BENZ,E-CLASS,E 300 AMG LINE (W214),Sedan,1890000000,258,400,110,Monocoque,0,0.0,2000T,AT,Petrol,2405,19,245/45,2961,4949,1880,1468,5,RWD,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,540,Multi-link,10.5,-,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Memory),Yes,LED,No,Yes (Front),No,No,No,Yes,LED,Digital,89,14,8.2,7.9,3.7,0.0,1.8
MERCEDES-BENZ,EQB,250+ PROGRESSIVE LINE,SUV,1665000000,190,385,154,Monocoque,474,70.5,0,Single Speed,BEV,2580,18,235/55,2829,4684,1834,1667,7,FWD,5,7,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,110,Multi-link,0.0,NMC,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,,Yes,Yes (Front & Memory),Yes,LED,No,No,No,No,No,No,LED,Digital,9,7,4.1,7.9,3.2,0.0,1.5
MERCEDES-BENZ,EQE (V295),350+ ELECTRIC ART LINE,Sedan,2415000000,292,565,140,Monocoque,673,90.0,0,Single Speed,BEV,2355,19,255/45,3120,4946,1961,1510,5,RWD,4,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,430,Multi-link,0.0,NMC,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Memory),Yes,LED,No,No,No,No,No,No,LED,Digital,13,12,7.1,7.9,4.8,0.0,1.4
MERCEDES-BENZ,EQE SUV (X294),350 4MATIC AMG LINE,SUV,2925000000,292,765,174,Monocoque,566,90.0,0,Single Speed,BEV,3095,20,255/45,3030,4863,1940,1686,5,AWD,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,520,Multi-link,0.0,NMC,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Memory),Yes,LED,Yes,Yes (Front),No,No,No,No,LED,Digital,8,13,7.6,7.9,5.8,0.0,1.2
MERCEDES-BENZ,EQS (V297),450+ AMG LINE,Sedan,3665000000,333,568,134,Monocoque,770,107.8,0,Single Speed,BEV,2945,21,265/40,3210,5216,1926,1512,5,RWD,4,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,610,Multi-link,0.0,NMC,Lengkap,Wireless,Wireless,Nappa Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Rear),Yes,LED,Yes,Yes (Front & Rear),Yes (Front & Rear),Yes,No,Yes,LED,Digital,8,16,9.4,8.8,5.1,0.0,1.1
MERCEDES-BENZ,EQS SUV (X296),450 4MATIC AMG LINE,SUV,3805000000,360,800,181,Monocoque,616,108.4,0,Single Speed,BEV,3375,21,275/45,3210,5125,2157,1718,7,AWD,5,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,195,Multi-link,0.0,NMC,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Rear),Yes,LED,Yes,Yes (Front & Rear),No,Yes,No,Yes,LED,Digital,3,15,8.8,8.8,6.5,0.0,1.1
MERCEDES-BENZ,G-CLASS,580 WITH EQ TECHNOLOGY (EV),SUV,6580000000,587,1164,250,Ladder Frame,473,116.0,0,Single Speed,BEV,3500,20,275/50,2890,4624,1931,1986,5,AWD,5,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,555,Rigid Axle,0.0,NMC,Lengkap,Wireless,Wireless,Nappa Leather,Electric,Yes,Yes,Yes,Moonroof,No,Yes (Front & Memory),Yes,LED,No,Yes (Front),Yes (Front),Yes,No,No,LED,Digital,3,14,8.2,9.2,9.8,0.0,0.7
MERCEDES-BENZ,GLA,200 AMG LINE (H247),SUV,1385000000,163,250,143,Monocoque,0,0.0,1332T,DCT,Petrol,2010,19,235/50,2729,4410,1834,1611,5,FWD,5,7,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,435,Torsion Beam,10.5,-,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Memory),Yes,LED,No,No,No,No,No,No,LED,Digital,57,7,4.1,7.9,2.3,0.0,1.7
MERCEDES-BENZ,GLB,200 PROGRESSIVE LINE (X247),SUV,1250000000,163,250,135,Monocoque,0,0.0,1332T,DCT,Petrol,2085,18,235/55,2829,4634,1834,1658,7,FWD,5,7,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,130,Multi-link,10.5,-,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Memory),Yes,LED,No,No,No,No,No,No,LED,Digital,15,7,4.1,7.9,2.3,0.0,1.9
