BRAND,MODEL,VARIAN,BODY TYPE,HARGAOTR,HORSE POWER (HP),TORQUE (Nm),GROUND CLEARENCE,CHASSIS,EV_RANGE_KM,BATTERY (KWH),CC,TRANSMISSION,FUEL,WEIGHT (GVW),WHEEL (Inch),TYRE,WHEELBASE,LONG,WIDTH,HEIGHT,SEAT,DRIVE_SYS,DOOR,AIRBAGS,ABS,EBD,ESC,TCS,AEB,ACC,LKA,RCTA,ACC_STOP_GO,LANE_CENTERING,DRIVER_MONITOR_CAMERA,PARK_SENSOR_FRONT,PARK_SENSOR_REAR,REAR_CAMERA,CAMERA_360,TRUNK_CAPACITY_LITER,TIPE_SUSPENSI_BELAKANG,COMPRESSION_RATIO,TIPE_BATERAI,TILT_TELESCOPIC_STEERING,APPLE_CARPLAY,ANDROID_AUTO,LEATHER_SEAT,PARKING_BRAKE,AUTO_HOLD,WIRELESS_CHARGER,SOFT_TOUCH_INTERIOR,SUNROOF,POWER_TAILGATE,ELECTRIC_SEAT,AMBIENT_LIGHT,HEADLAMP,AIR_SUSPENSION,VENTILATED_SEAT,MASSAGE_SEAT,REAR_SEAT_ENTERTAINMENT,SOFT_CLOSE_DOOR,HEAD_UP_DISPLAY,REAR_LAMP,SPEEDOMETER,TOTAL_2025,INDEX_PERFORMANCE,INDEX_EFFICIENCY,INDEX_SAFETY,INDEX_COMFORT,INDEX_TECH,INDEX_SPACE,INDEX_POPULARITY,INDEX_PRICE
MINI,ACEMAN,SE (82GC),Crossover,1250000000,218,330,145,Monocoque,406,54.2,0,Single Speed,BEV,2150,18,225/45,2606,4076,1754,1511,5,FWD,5,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,300,Multi-link,0.0,NMC,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Memory),Yes,LED,No,No,Yes (Driver),No,No,Yes,LED,Digital,25,0.34594084086840654,0.7557765662768995,1.0576650188982895,1.0908105428979733,1.5278413866259961,-0.6387824889887561,-0.3853253256910449,-0.407036707696642
MINI,COOPER,S CABRIO (F57),Cabrio,1250000000,192,280,128,Monocoque,0,0.0,1998,DCT,Petrol,1745,18,205/40,2495,3876,1727,1415,4,FWD,2,4,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,160,Multi-link,11.0,-,Lengkap,Wireless,Wireless,Leather,Manual,No,Yes,Yes,,No,No,Yes,LED,No,No,No,No,No,No,LED,Digital,30,-0.05848827458036954,-0.3598715932866922,-0.3944827125680656,-0.2903812893507708,-0.24083250104445075,-1.7549139544278565,-0.3832313225145722,-0.407036707696642
MINI,COOPER 5-DOOR,COOPER (C),Hatchback,1050000000,156,230,143,Monocoque,0,0.0,1499,DCT,Petrol,1810,17,205/45,2567,4036,1744,1464,5,FWD,5,6,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,278,Multi-link,11.0,-,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,No,Yes (Front & Memory),Yes,LED,No,No,No,No,No,No,LED,Digital,2,-0.22501002323851513,-0.26049334484418935,0.6345544907937489,0.1700159880654772,-0.24083250104445075,-0.7650852938175885,-0.39495774030281927,-0.20284761771089063
MINI,COOPER 5-DOOR,S (COOPER S),Hatchback,1165000000,204,300,143,Monocoque,0,0.0,1998,DCT,Petrol,1855,18,215/40,2567,4036,1744,1464,5,FWD,5,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,278,Multi-link,11.0,-,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,No,Yes (Front & Memory),Yes,LED,No,No,Yes (Driver),No,No,Yes,LED,Digital,18,0.018232134236312342,-0.4200751483425799,0.8461097548460191,0.6304132654817253,0.34872546151236483,-0.7650852938175885,-0.38825693013810664,-0.3202563444526977
MINI,COOPER CABRIO,JCW (32GX),Cabrio,1390000000,231,320,128,Monocoque,0,0.0,1998,AT,Petrol,1795,18,205/40,2495,3872,1727,1415,4,FWD,2,4,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,160,Multi-link,10.2,-,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,,No,Yes (Front & Memory),Yes,LED,No,No,No,No,No,Yes,LED,Digital,21,0.054944186380360756,-0.38723684558482296,0.028627815536475,0.1700159880654772,0.34872546151236483,-1.75627228435591,-0.38700052823222303,-0.549969070686668
MINI,COOPER EV,JCW E,Hatchback,1210000000,258,350,143,Monocoque,371,54.2,0,Single Speed,BEV,2100,19,225/40,2526,3858,1756,1460,4,FWD,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,210,Multi-link,0.0,NMC,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,No,Yes (Front & Memory),Yes,LED,No,No,Yes (Driver),No,No,Yes,LED,Digital,17,0.38887899086476047,0.7583825017964605,1.149073092474656,0.6304132654817253,1.5278413866259961,-1.372555183528437,-0.3886757307734012,-0.3661988896994917
MINI,COOPER EV,SE (J01),Hatchback,1095000000,218,330,143,Monocoque,402,54.2,0,Single Speed,BEV,2070,18,225/40,2526,3858,1756,1460,4,FWD,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,210,Multi-link,0.0,NMC,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,No,Yes (Front & Memory),Yes,LED,No,No,Yes (Driver),No,No,Yes,LED,Digital,49,0.31486481428155694,0.7967313337506436,1.149073092474656,0.6304132654817253,1.5278413866259961,-1.372555183528437,-0.37527411044397596,-0.2487901629576847
MINI,COOPER EV,SE HATCH,Hatchback,1045000000,184,270,128,Monocoque,232,32.6,0,Single Speed,BEV,1775,17,205/45,2495,3850,1727,1432,4,FWD,3,6,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,210,Multi-link,0.0,NMC,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,No,No,Yes,LED,No,No,No,No,No,Yes,LED,Digital,19,-0.11519356686128386,0.6347810039544384,-0.2116665654153323,-0.2903812893507708,0.34872546151236483,-1.5216329225315093,-0.3878381295028121,-0.19774289046124685
MINI,COOPER HATCH,JOHN COOPER WORKS,Hatchback,1230000000,231,320,128,Monocoque,0,0.0,1998,AT,Petrol,1700,18,205/40,2495,3874,1727,1414,4,FWD,3,6,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,211,Multi-link,10.2,-,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,No,No,Yes,LED,No,No,No,No,No,Yes,LED,Digital,43,0.02028153346939505,-0.33524286621837446,0.4229992267414786,-0.2903812893507708,0.9382834240691804,-1.5295612998721424,-0.3777869142557432,-0.38661779869806684
MINI,COOPER HATCH,S HATCH,Hatchback,1020000000,192,280,128,Monocoque,0,0.0,1998,DCT,Petrol,1655,17,205/45,2495,3850,1727,1414,4,FWD,3,6,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,211,Multi-link,11.0,-,Lengkap,Wireless,Wireless,Leather,Manual,No,Yes,Yes,Panoramic,No,No,Yes,LED,No,No,No,No,No,No,LED,Digital,1,-0.09132657733812649,-0.31061413915005676,-0.2116665654153323,-0.2903812893507708,-0.24083250104445075,-1.5377112794404633,-0.3953765409381138,-0.17221925421302792
MINI,COOPER HATCH,S RHD,Hatchback,1020000000,192,280,128,Monocoque,0,0.0,1998,DCT,Petrol,1655,17,205/45,2495,3850,1727,1414,4,FWD,3,6,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,211,Multi-link,11.0,-,Lengkap,Wireless,Wireless,Leather,Manual,No,Yes,Yes,Panoramic,No,No,Yes,LED,No,No,No,No,No,No,LED,Digital,55,-0.09132657733812649,-0.31061413915005676,-0.2116665654153323,-0.2903812893507708,-0.24083250104445075,-1.5377112794404633,-0.3727613066322087,-0.17221925421302792
MINI,COUNTRYMAN,C (U25),SUV,1550000000,170,280,202,Monocoque,0,0.0,1499,DCT,Hybrid,2150,19,245/45,2692,4433,1843,1656,5,FWD,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,460,Multi-link,11.0,-,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Memory),Yes,LED,No,No,Yes (Driver),No,No,No,LED,Digital,39,-0.03297996764399088,-0.44657706047147877,1.149073092474656,1.0908105428979733,0.9382834240691804,0.16612922128216057,-0.3794621167969213,-0.713320342675269
MINI,COUNTRYMAN,S ALL4 (U25),SUV,1690000000,218,360,202,Monocoque,0,0.0,1998,DCT,Petrol,2245,19,245/45,2692,4433,1843,1656,5,AWD,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,460,Multi-link,11.0,-,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Memory),Yes,LED,No,No,Yes (Driver),No,No,Yes,LED,Digital,43,0.23799022467138362,-0.6335241162680001,1.149073092474656,1.0908105428979733,1.5278413866259961,0.16612922128216057,-0.3777869142557432,-0.856252705665295
MINI,COUNTRYMAN,S F60 CKD,SUV,1150000000,192,280,165,Monocoque,0,0.0,1998,DCT,Petrol,2040,18,225/50,2670,4297,1822,1557,5,FWD,5,6,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,450,Multi-link,11.0,-,Lengkap,Wireless,Wireless,Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Memory),Yes,LED,No,No,No,No,No,Yes,LED,Digital,41,0.0491483844589449,-0.5213265818456639,-0.2116665654153323,0.6304132654817253,0.34872546151236483,-0.171733639813218,-0.37862451552633225,-0.30494216270376634
MINI,COUNTRYMAN,SE ALL4 (EV),SUV,1950000000,313,494,202,Monocoque,433,66.5,0,Single Speed,BEV,2580,20,245/40,2692,4433,1843,1656,5,AWD,5,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,460,Multi-link,0.0,NMC,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front & Memory),Yes,LED,No,No,Yes (Driver),No,No,Yes,LED,Digital,26,0.8876919610632857,0.6552156765568585,1.149073092474656,1.0908105428979733,1.5278413866259961,0.16612922128216057,-0.38490652505575035,-1.121698522646772
MITSUBISHI,DESTINATOR,1.5 EXCEED CVT,SUV,420000000,160,250,210,Monocoque,0,0.0,1500T,CVT,Petrol,1920,18,225/55,2700,4650,1810,1700,7,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,220,Torsion Beam,10.5,-,Lengkap,Wireless,Wireless,Fabric,Electric,Yes,Yes,No,,No,No,No,LED,No,No,No,No,No,No,LED,Analog,1253,-0.3056041439736302,-0.23832237385994595,-1.0004093878253395,-1.2111758441832667,-0.24083250104445075,0.2742561745312759,0.12896185445064867,0.44034801574422616
MITSUBISHI,DESTINATOR,1.5 GLS CVT,SUV,395000000,160,250,210,Monocoque,0,0.0,1500T,CVT,Petrol,1900,17,215/60,2700,4650,1810,1700,7,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,220,Torsion Beam,10.5,-,Lengkap,Wireless,Wireless,Fabric,Electric,Yes,Yes,No,,No,No,No,LED,No,No,No,No,No,No,LED,Analog,304,-0.31436102470903216,-0.22372757263427623,-1.0004093878253395,-1.2111758441832667,-0.24083250104445075,0.2742561745312759,-0.2684799484438686,0.4658716519924451
MITSUBISHI,DESTINATOR,1.5 ULTIMATE CVT,SUV,480000000,160,250,210,Monocoque,0,0.0,1500T,CVT,Petrol,1950,18,225/55,2700,4650,1810,1700,7,FWD,5,6,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,220,Torsion Beam,10.5,-,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,,Yes,No,Yes,LED,No,No,No,No,No,No,LED,Digital,4961,-0.2924688228705275,-0.2602145756984506,-0.42322182946760256,0.1700159880654772,-0.24083250104445075,0.2742561745312759,1.6818746101227984,0.3790912887485008
MITSUBISHI,DESTINATOR,1.5 ULTIMATE PREMIUM,SUV,510000000,160,250,210,Monocoque,0,0.0,1500T,CVT,Petrol,1960,18,225/55,2700,4650,1810,1700,7,FWD,5,6,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,220,Torsion Beam,10.5,-,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Driver),Yes,LED,No,No,No,Yes,No,No,LED,Digital,3897,-0.2880903825028266,-0.2675119763112855,-0.00011130136306199472,0.6304132654817253,0.34872546151236483,0.2742561745312759,1.236270734169409,0.34846292525063804
