BRAND,MODEL,VARIAN,BODY TYPE,HARGAOTR,HORSE POWER (HP),TORQUE (Nm),GROUND CLEARENCE,CHASSIS,EV_RANGE_KM,BATTERY (KWH),CC,TRANSMISSION,FUEL,WEIGHT (GVW),WHEEL (Inch),TYRE,WHEELBASE,LONG,WIDTH,HEIGHT,SEAT,DRIVE_SYS,DOOR,AIRBAGS,ABS,EBD,ESC,TCS,AEB,ACC,LKA,RCTA,ACC_STOP_GO,LANE_CENTERING,DRIVER_MONITOR_CAMERA,PARK_SENSOR_FRONT,PARK_SENSOR_REAR,REAR_CAMERA,CAMERA_360,TRUNK_CAPACITY_LITER,TIPE_SUSPENSI_BELAKANG,COMPRESSION_RATIO,TIPE_BATERAI,TILT_TELESCOPIC_STEERING,APPLE_CARPLAY,ANDROID_AUTO,LEATHER_SEAT,PARKING_BRAKE,AUTO_HOLD,WIRELESS_CHARGER,SOFT_TOUCH_INTERIOR,SUNROOF,POWER_TAILGATE,ELECTRIC_SEAT,AMBIENT_LIGHT,HEADLAMP,AIR_SUSPENSION,VENTILATED_SEAT,MASSAGE_SEAT,REAR_SEAT_ENTERTAINMENT,SOFT_CLOSE_DOOR,HEAD_UP_DISPLAY,REAR_LAMP,SPEEDOMETER
Wuling,Darion,EV EX (Long Range),MPV,419000000,201,310,170,Monocoque,540,69.2,0,Single Speed,BEV,2050,17,215/55,2910,4910,1870,1770,7,FWD,5,6,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,425,Multi-link,0.0,LFP,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front),Yes,LED,No,Yes (Front),No,No,No,No,LED,Digital
Wuling,Darion,PHEV CE (Lux),MPV,442000000,195,230,170,Monocoque,125,20.5,1498,DHT,PHEV,2100,17,215/55,2910,4910,1870,1770,7,FWD,5,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,425,Multi-link,13.0,LFP,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,No,Yes,None,No,No,No,LED,No,No,No,No,No,No,LED,Digital
Wuling,Darion,PHEV EX (Lux+),MPV,492000000,195,230,170,Monocoque,125,20.5,1498,DHT,PHEV,2150,17,215/55,2910,4910,1870,1770,7,FWD,5,6,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,425,Multi-link,13.0,LFP,Lengkap,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front),Yes,LED,No,Yes (Front),No,No,No,No,LED,Digital
Wuling,New Air EV,Lite 200 KM,City Car,214000000,40,110,135,Monocoque,200,17.3,0,Single Speed,BEV,1100,12,145/70,2010,2974,1505,1631,4,RWD,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rigid Axle,0.0,LFP,Fixed,None,None,Fabric,Manual,No,No,No,None,No,No,No,Halogen,No,No,No,No,No,No,Halogen,Digital
Wuling,New Air EV,Lite 300 KM,City Car,251000000,40,110,135,Monocoque,300,26.7,0,Single Speed,BEV,1160,12,145/70,2010,2974,1505,1631,4,RWD,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rigid Axle,0.0,LFP,Fixed,Wired,Wired,Fabric,Manual,No,No,No,None,No,No,No,LED,No,No,No,No,No,No,LED,Digital
Wuling,New Air EV,Pro 300 KM,City Car,310200000,40,110,135,Monocoque,300,26.7,0,Single Speed,BEV,1160,12,145/70,2010,2974,1505,1631,4,RWD,3,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Rigid Axle,0.0,LFP,Fixed,Wired,Wired,Synthetic Leather,Electric,Yes,No,Yes,None,No,No,No,LED,No,No,No,No,No,No,LED,Digital
Wuling,New Almaz RS,Hybrid,SUV,442000000,123,320,230,Monocoque,1999,1.8,0,DHT,HEV,2150,18,215/55,2750,4655,1835,1760,7,FWD,5,4,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,84,Multi-link,13.0,NMC,Tilt,Wireless,Wireless,Synthetic Leather,Electric,Yes,No,Yes,Panoramic,Yes,Yes (Driver),Yes,LED,No,No,No,No,No,No,LED,Digital
Wuling,New Almaz RS,Hybrid (HEV),SUV,442000000,123,320,230,Monocoque,0,1.8,1999,DHT,HEV,2150,18,215/55,2750,4655,1835,1760,7,FWD,5,4,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,84,Multi-link,13.0,NMC,Tilt,Wireless,Wireless,Synthetic Leather,Electric,Yes,No,Yes,Panoramic,Yes,Yes (Driver),Yes,LED,No,No,No,No,No,No,LED,Digital
Wuling,New Almaz RS,RS Pro,SUV,402000000,140,250,230,Monocoque,0,0.0,1451T,CVT,Petrol,2050,17,215/60,2750,4655,1835,1760,7,FWD,5,4,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,84,Multi-link,9.5,-,Tilt,Wireless,Wireless,Synthetic Leather,Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Driver),Yes,LED,No,No,No,No,No,No,LED,Digital
Wuling,New BinguoEV,Lite (333km),Hatchback,318000000,67,150,150,Monocoque,333,31.9,0,Single Speed,BEV,1450,15,185/60,2560,3950,1708,1580,5,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,310,Torsion Beam,0.0,LFP,Tilt,Wired,Wired,Fabric,Electric,Yes,No,No,None,No,No,No,LED,No,No,No,No,No,No,LED,Digital
Wuling,New BinguoEV,Pro (333km),Hatchback,363000000,67,150,150,Monocoque,333,31.9,0,Single Speed,BEV,1450,15,185/60,2560,3950,1708,1580,5,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,310,Torsion Beam,0.0,LFP,Tilt,Wired,Wired,Synthetic Leather,Electric,Yes,No,Yes,None,No,Yes (Driver),No,LED,No,No,No,No,No,No,LED,Digital
Wuling,New Cloud EV,Lite (460km),Crossover,415000000,134,200,160,Monocoque,460,50.6,0,Single Speed,BEV,1850,18,215/55,2700,4295,1850,1652,5,FWD,5,4,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,382,Torsion Beam,0.0,LFP,Lengkap,Wireless,Wireless,Leather (Sofa),Electric,Yes,Yes,Yes,None,No,Yes (Front),No,LED,No,No,No,No,No,No,LED,Digital
Wuling,New Cloud EV,Pro (460km),Crossover,443000000,134,200,160,Monocoque,460,50.6,0,Single Speed,BEV,1900,18,215/55,2700,4295,1850,1652,5,FWD,5,4,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,382,Torsion Beam,0.0,LFP,Lengkap,Wireless,Wireless,Leather (Sofa),Electric,Yes,Yes,Yes,Panoramic,Yes,Yes (Front),Yes,LED,No,Yes (Front),No,No,No,No,LED,Digital
Wuling,New Confero S,1.5C MT (Lux),MPV,210700000,98,135,205,Monocoque,0,0.0,1485,MT,Petrol,1830,15,195/60,2720,4530,1691,1730,8,RWD,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,Rigid Axle,10.2,-,Fixed,None,None,Fabric,Manual,No,No,No,None,No,No,No,Halogen,No,No,No,No,No,No,Bulb,Analog
Wuling,New Confero S,1.5L MT (Lux+),MPV,225850000,98,135,205,Monocoque,0,0.0,1485,MT,Petrol,1830,15,195/60,2720,4530,1691,1730,7,RWD,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,250,Rigid Axle,10.2,-,Fixed,None,None,Synthetic Leather,Manual,No,No,No,None,No,No,No,Halogen,No,No,No,No,No,No,Combo LED,Analog
Wuling,New Cortez,1.5 CE CVT,MPV,299300000,140,250,170,Monocoque,0,0.0,1451T,CVT,Petrol,2080,16,205/55,2750,4780,1816,1755,7,FWD,5,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,150,Torsion Beam,9.5,-,Tilt,Wired,Wired,Fabric,Electric,Yes,No,Yes,None,No,No,No,LED,No,No,No,No,No,No,LED,Digital
